"X1" "X2" "X3" "X4" "X5" "X6" "Y"
"496" "19.17" 9.5 1.5 0 "00120" 2206 "+"
"497" "25.00" 0.875 1.04 0 "00160" 5860 "+"
"498" "20.17" 9.25 1.665 3 "00040" 28 "+"
"499" "25.75" 0.5 1.46 5 "00312" 0 "+"
"500" "20.42" 7 1.625 3 "00200" 1391 "+"
"502" "39.00" 5 3.5 10 "00000" 0 "+"
"503" "64.08" 0.165 0 1 "00232" 100 "+"
"504" "28.25" 5.125 4.75 2 "00420" 7 "+"
"505" "28.75" 3.75 1.085 1 "00371" 0 "+"
"506" "31.33" 19.5 7 16 "00000" 5000 "+"
"507" "18.92" 9 0.75 2 "00088" 591 "+"
"508" "24.75" 3 1.835 19 "00000" 500 "+"
"509" "30.67" 12 2 1 "00220" 19 "+"
"510" "21.00" 4.79 2.25 1 "00080" 300 "+"
"511" "13.75" 4 1.75 2 "00120" 1000 "+"
"512" "46.00" 4 0 0 "00100" 960 "+"
"513" "44.33" 0 2.5 0 "00000" 0 "+"
"514" "20.25" 9.96 0 0 "00000" 0 "+"
"515" "22.67" 2.54 2.585 0 "00000" 0 "+"
"517" "60.92" 5 4 4 "00000" 99 "+"
"518" "16.08" 0.75 1.75 5 "00352" 690 "+"
"519" "28.17" 0.375 0.585 4 "00080" 0 "+"
"520" "39.17" 1.71 0.125 5 "00480" 0 "+"
"521" "20.42" 7.5 1.5 1 "00160" 234 "+"
"522" "30.00" 5.29 2.25 5 "00099" 500 "+"
"523" "22.83" 3 1.29 1 "00260" 800 "+"
"524" "22.50" 8.5 1.75 10 "00080" 990 "-"
"525" "28.58" 1.665 2.415 0 "00440" 0 "-"
"526" "45.17" 1.5 2.5 0 "00140" 0 "-"
"527" "41.58" 1.75 0.21 0 "00160" 0 "-"
"528" "57.08" 0.335 1 0 "00252" 2197 "-"
"529" "55.75" 7.08 6.75 3 "00100" 50 "-"
"530" "43.25" 25.21 0.21 1 "00760" 90 "-"
"531" "25.33" 2.085 2.75 0 "00360" 1 "-"
"532" "24.58" 0.67 1.75 0 "00400" 0 "-"
"533" "43.17" 2.25 0.75 0 "00560" 0 "-"
"534" "40.92" 0.835 0 0 "00130" 1 "-"
"535" "31.83" 2.5 7.5 0 "00523" 0 "-"
"536" "33.92" 1.585 0 0 "00320" 0 "-"
"537" "24.92" 1.25 0 0 "00080" 0 "-"
"538" "35.25" 3.165 3.75 0 "00680" 0 "-"
"539" "34.25" 1.75 0.25 0 "00163" 0 "-"
"540" "80.25" 5.5 0.54 0 "00000" 340 "-"
"541" "19.42" 1.5 2 0 "00100" 20 "-"
"542" "42.75" 3 1 0 "00000" 200 "-"
"543" "19.67" 10 0.835 0 "00140" 0 "-"
"544" "36.33" 3.79 1.165 0 "00200" 0 "-"
"545" "30.08" 1.04 0.5 10 "00132" 28 "-"
"546" "44.25" 11 1.5 0 "00000" 0 "-"
"547" "23.58" 0.46 2.625 6 "00208" 347 "-"
"548" "23.92" 1.5 1.875 6 "00200" 327 "+"
"549" "33.17" 1 0.75 7 "00340" 4071 "+"
"550" "48.33" 12 16 0 "00110" 0 "+"
"551" "76.75" 22.29 12.75 1 "00000" 109 "+"
"552" "51.33" 10 0 11 "00000" 1249 "+"
"553" "34.75" 15 5.375 9 "00000" 134 "+"
"554" "38.58" 3.335 4 14 "00383" 1344 "+"
"555" "22.42" 11.25 0.75 4 "00000" 321 "+"
"556" "41.92" 0.42 0.21 6 "00220" 948 "+"
"557" "29.58" 4.5 7.5 2 "00330" 0 "+"
"558" "32.17" 1.46 1.085 16 "00120" 2079 "+"
"559" "51.42" 0.04 0.04 0 "00000" 3000 "+"
"560" "22.83" 2.29 2.29 7 "00140" 2384 "+"
"561" "25.00" 12.33 3.5 6 "00400" 458 "+"
"562" "26.75" 1.125 1.25 0 "00000" 5298 "+"
"563" "23.33" 1.5 1.415 0 "00422" 200 "+"
"564" "24.42" 12.335 1.585 0 "00120" 0 "+"
"565" "42.17" 5.04 12.75 0 "00092" 0 "+"
"566" "20.83" 3 0.04 0 "00100" 0 "+"
"567" "23.08" 11.5 2.125 11 "00290" 284 "+"
"568" "25.17" 2.875 0.875 0 "00360" 0 "+"
"569" "43.08" 0.375 0.375 8 "00300" 162 "+"
"570" "35.75" 0.915 0.75 4 "00000" 1583 "+"
"571" "59.50" 2.75 1.75 5 "00060" 58 "+"
"572" "21.00" 3 1.085 8 "00160" 1 "+"
"573" "21.92" 0.54 0.04 1 "00840" 59 "+"
"574" "65.17" 14 0 11 "00000" 1400 "+"
"575" "20.33" 10 1 4 "00050" 1465 "+"
"576" "32.25" 0.165 3.25 1 "00432" 8000 "+"
"577" "30.17" 0.5 1.75 11 "00032" 540 "+"
"578" "25.17" 6 1 3 "00000" 0 "+"
"579" "39.17" 1.625 1.5 10 "00186" 4700 "+"
"580" "39.08" 6 1.29 5 "00108" 1097 "+"
"581" "31.67" 0.83 1.335 8 "00303" 3290 "+"
"582" "41.00" 0.04 0.04 1 "00560" 0 "+"
"583" "48.50" 4.25 0.125 0 "00225" 0 "+"
"584" "32.67" 9 5.25 0 "00154" 0 "+"
"585" "28.08" 15 0 0 "00000" 13212 "+"
"586" "73.42" 17.75 0 0 "00000" 0 "+"
"587" "64.08" 20 17.5 9 "00000" 1000 "+"
"588" "51.58" 15 8.5 9 "00000" 0 "+"
"589" "26.67" 1.75 1 5 "00160" 5777 "+"
"590" "25.33" 0.58 0.29 7 "00096" 5124 "+"
"591" "30.17" 6.5 3.125 8 "00330" 1200 "+"
"592" "27.00" 0.75 4.25 3 "00312" 150 "+"
"594" "34.17" 5.25 0.085 0 "00290" 6 "+"
"595" "38.67" 0.21 0.085 0 "00280" 0 "+"
"596" "25.75" 0.75 0.25 0 "00349" 23 "+"
"597" "46.08" 3 2.375 8 "00396" 4159 "+"
"598" "21.50" 6 2.5 3 "00080" 918 "+"
"599" "20.08" 0.125 1 1 "00240" 768 "+"
"600" "20.50" 2.415 2 11 "00200" 3000 "+"
"601" "29.50" 0.46 0.54 4 "00380" 500 "+"
"602" "42.25" 1.75 0 0 "00150" 1 "-"
"603" "29.83" 1.25 0.25 0 "00224" 0 "-"
"604" "20.08" 0.25 0.125 0 "00200" 0 "-"
"605" "23.42" 0.585 0.085 0 "00180" 0 "-"
"606" "29.58" 1.75 1.25 0 "00280" 0 "-"
"607" "16.17" 0.04 0.04 0 "00000" 0 "+"
"608" "32.33" 3.5 0.5 0 "00232" 0 "-"
"610" "47.83" 4.165 0.085 0 "00520" 0 "-"
"611" "20.00" 1.25 0.125 0 "00140" 4 "-"
"612" "27.58" 3.25 5.085 2 "00369" 1 "-"
"613" "22.00" 0.79 0.29 1 "00420" 283 "-"
"614" "19.33" 10.915 0.585 2 "00200" 7 "-"
"615" "38.33" 4.415 0.125 0 "00160" 0 "-"
"616" "29.42" 1.25 0.25 2 "00400" 108 "-"
"617" "22.67" 0.75 1.585 1 "00400" 9 "-"
"618" "32.25" 14 0 2 "00160" 1 "-"
"619" "29.58" 4.75 2 1 "00460" 68 "-"
"620" "18.42" 10.415 0.125 0 "00120" 375 "-"
"621" "22.17" 2.25 0.125 0 "00160" 10 "-"
"622" "22.67" 0.165 2.25 0 "00000" 0 "+"
"624" "18.83" 0 0.665 0 "00160" 1 "-"
"625" "21.58" 0.79 0.665 0 "00160" 0 "-"
"626" "23.75" 12 2.085 0 "00080" 0 "-"
"628" "36.08" 2.54 0 0 "00000" 1000 "-"
"629" "29.25" 13 0.5 0 "00228" 0 "-"
"630" "19.58" 0.665 1.665 0 "00220" 5 "-"
"631" "22.92" 1.25 0.25 0 "00120" 809 "-"
"632" "27.25" 0.29 0.125 1 "00272" 108 "-"
"633" "38.75" 1.5 0 0 "00076" 0 "-"
"634" "32.42" 2.165 0 0 "00120" 0 "-"
"635" "23.75" 0.71 0.25 1 "00240" 4 "-"
"636" "18.17" 2.46 0.96 2 "00160" 587 "-"
"637" "40.92" 0.5 0.5 0 "00130" 0 "-"
"638" "19.50" 9.585 0.79 0 "00080" 350 "-"
"639" "28.58" 3.625 0.25 0 "00100" 0 "-"
"640" "35.58" 0.75 1.5 0 "00231" 0 "-"
"641" "34.17" 2.75 2.5 0 "00232" 200 "-"
"642" "33.17" 2.25 3.5 0 "00200" 141 "-"
"643" "31.58" 0.75 3.5 0 "00320" 0 "-"
"644" "52.50" 7 3 0 "00000" 0 "-"
"645" "36.17" 0.42 0.29 0 "00309" 2 "-"
"646" "37.33" 2.665 0.165 0 "00000" 501 "-"
"647" "20.83" 8.5 0.165 0 "00000" 351 "-"
"648" "24.08" 9 0.25 0 "00000" 0 "-"
"649" "25.58" 0.335 3.5 0 "00340" 0 "-"
"650" "35.17" 3.75 0 6 "00000" 200 "-"
"651" "48.08" 3.75 1 0 "00100" 2 "-"
"652" "15.83" 7.625 0.125 1 "00000" 160 "-"
"653" "22.50" 0.415 0.335 0 "00144" 0 "-"
"654" "21.50" 11.5 0.5 0 "00100" 68 "-"
"655" "23.58" 0.83 0.415 1 "00200" 11 "-"
"656" "21.08" 5 0 0 "00000" 0 "-"
"657" "25.67" 3.25 2.29 1 "00416" 21 "-"
"658" "38.92" 1.665 0.25 0 "00000" 390 "-"
"659" "15.75" 0.375 1 0 "00120" 18 "-"
"660" "28.58" 3.75 0.25 1 "00040" 154 "-"
"661" "22.25" 9 0.085 0 "00000" 0 "-"
"662" "29.83" 3.5 0.165 0 "00216" 0 "-"
"663" "23.50" 1.5 0.875 0 "00160" 0 "-"
"664" "32.08" 4 1.5 0 "00120" 0 "-"
"665" "31.08" 1.5 0.04 0 "00160" 0 "-"
"666" "31.83" 0.04 0.04 0 "00000" 0 "-"
"667" "21.75" 11.75 0.25 0 "00180" 0 "-"
"668" "17.92" 0.54 1.75 1 "00080" 5 "-"
"669" "30.33" 0.5 0.085 0 "00252" 0 "-"
"670" "51.83" 2.04 1.5 0 "00120" 1 "-"
"671" "47.17" 5.835 5.5 0 "00465" 150 "-"
"672" "25.83" 12.835 0.5 0 "00000" 2 "-"
"673" "50.25" 0.835 0.5 0 "00240" 117 "-"
"674" "29.50" 2 2 0 "00256" 17 "-"
"675" "37.33" 2.5 0.21 0 "00260" 246 "-"
"676" "41.58" 1.04 0.665 0 "00240" 237 "-"
"677" "30.58" 10.665 0.085 12 "00129" 3 "-"
"678" "19.42" 7.25 0.04 1 "00100" 1 "-"
"679" "17.92" 10.21 0 0 "00000" 50 "-"
"680" "20.08" 1.25 0 0 "00000" 0 "-"
"681" "19.50" 0.29 0.29 0 "00280" 364 "-"
"682" "27.83" 1 3 0 "00176" 537 "-"
"683" "17.08" 3.29 0.335 0 "00140" 2 "-"
"684" "36.42" 0.75 0.585 0 "00240" 3 "-"
"685" "40.58" 3.29 3.5 0 "00400" 0 "-"
"686" "21.08" 10.085 1.25 0 "00260" 0 "-"
"687" "22.67" 0.75 2 2 "00200" 394 "-"
"688" "25.25" 13.5 2 1 "00200" 1 "-"
"689" "17.92" 0.205 0.04 0 "00280" 750 "-"
"690" "35.00" 3.375 8.29 0 "00000" 0 "-"
